S.no,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Suggestions,Sentiment
331,984,5,10,6,4,2,10,4,6,The class was too fast paced,Positive
332,185,10,3,8,4,1,10,7,9,Great use of visuals,Positive
333,487,6,6,4,2,10,10,1,9,More examples should be added,Positive
334,75,8,9,8,6,2,7,9,10,Explain topics in a simpler way,Neutral
335,718,6,3,6,7,6,6,2,6,Assignments were challenging,Positive
336,496,10,7,4,6,10,5,3,6,Include more practicals,Positive
337,630,5,5,4,8,3,6,6,8,Helped clear my doubts clearly,Positive
338,637,8,10,5,6,10,8,2,2,"Too much theory, less engagement",Neutral
339,360,9,9,8,2,3,1,8,6,Loved the interactive session,Positive
340,183,6,7,5,5,4,7,1,9,Very helpful and interactive session,Positive
341,689,10,8,7,8,1,9,5,10,The class was too fast paced,Positive
342,236,6,9,6,4,1,2,8,4,Great use of visuals,Positive
343,768,6,6,6,3,5,9,8,3,More examples should be added,Positive
344,316,7,2,7,8,6,4,2,9,Explain topics in a simpler way,Neutral
345,396,6,10,4,6,1,2,4,10,Assignments were challenging,Positive
346,212,6,4,4,6,5,10,10,2,Include more practicals,Positive
347,830,9,7,7,10,7,8,6,4,Helped clear my doubts clearly,Positive
348,209,9,8,5,3,3,10,7,2,"Too much theory, less engagement",Neutral
349,62,7,4,4,5,3,10,2,1,Loved the interactive session,Positive
350,447,8,7,7,1,4,7,10,9,Very helpful and interactive session,Positive
351,100,6,6,6,10,7,5,7,8,The class was too fast paced,Positive
352,305,10,8,8,4,6,3,10,4,Great use of visuals,Positive
353,494,10,6,6,6,4,10,2,9,More examples should be added,Positive
354,328,10,6,5,4,6,10,8,2,Explain topics in a simpler way,Neutral
355,854,8,2,8,4,6,2,4,7,Assignments were challenging,Positive
356,866,5,10,4,8,3,7,4,5,Include more practicals,Positive
357,943,8,9,7,10,6,7,7,6,Helped clear my doubts clearly,Positive
358,734,9,8,5,3,10,1,8,3,"Too much theory, less engagement",Neutral
359,189,9,3,6,2,3,8,10,7,Loved the interactive session,Positive
360,404,10,5,7,8,1,5,10,4,Very helpful and interactive session,Positive
361,518,7,4,8,5,7,9,2,6,The class was too fast paced,Positive
362,856,6,9,4,6,8,8,3,8,Great use of visuals,Positive
363,70,9,2,5,8,10,9,7,6,More examples should be added,Positive
364,457,7,4,8,2,3,6,8,4,Explain topics in a simpler way,Neutral
365,148,5,4,4,4,8,10,5,5,Assignments were challenging,Positive
366,958,10,10,5,8,5,10,7,8,Include more practicals,Positive
367,356,7,3,7,6,4,2,1,10,Helped clear my doubts clearly,Positive
368,793,10,9,6,4,7,6,8,3,"Too much theory, less engagement",Neutral
369,771,8,7,6,4,8,7,3,2,Loved the interactive session,Positive
370,452,5,6,7,9,7,8,6,1,Very helpful and interactive session,Positive
371,72,8,7,7,3,4,1,4,7,The class was too fast paced,Positive
372,710,7,2,6,5,7,7,6,10,Great use of visuals,Positive
373,980,6,3,7,1,5,4,9,4,More examples should be added,Positive
374,145,6,8,4,6,1,3,2,7,Explain topics in a simpler way,Neutral
375,960,6,9,6,1,3,3,5,8,Assignments were challenging,Positive
376,660,5,7,7,3,10,3,3,4,Include more practicals,Positive
377,987,9,10,7,8,7,3,8,7,Helped clear my doubts clearly,Positive
378,534,9,5,7,5,2,6,10,8,"Too much theory, less engagement",Neutral
379,858,9,5,5,3,2,2,7,7,Loved the interactive session,Positive
380,324,10,5,5,2,2,5,7,6,Very helpful and interactive session,Positive
381,884,7,4,7,10,5,1,7,4,The class was too fast paced,Positive
382,611,8,9,5,3,9,5,8,3,Great use of visuals,Positive
383,136,8,6,7,10,9,9,2,3,More examples should be added,Positive
384,705,9,3,6,3,3,5,1,2,Explain topics in a simpler way,Neutral
385,991,7,4,5,8,9,8,5,1,Assignments were challenging,Positive
386,676,9,8,5,7,4,10,2,6,Include more practicals,Positive
387,769,9,8,8,8,1,1,8,5,Helped clear my doubts clearly,Positive
388,246,7,10,8,8,4,10,3,8,"Too much theory, less engagement",Neutral
389,644,9,6,8,2,7,6,4,6,Loved the interactive session,Positive
390,263,7,9,4,7,9,8,10,7,Very helpful and interactive session,Positive
391,476,9,4,6,4,8,6,4,10,The class was too fast paced,Positive
392,697,7,7,6,1,8,10,5,2,Great use of visuals,Positive
393,95,7,2,5,5,9,6,8,3,More examples should be added,Positive
394,688,8,6,7,5,6,1,4,10,Explain topics in a simpler way,Neutral
395,633,8,2,4,7,4,6,7,4,Assignments were challenging,Positive
396,241,8,3,8,8,10,1,8,6,Include more practicals,Positive
397,524,9,8,4,6,10,1,9,10,Helped clear my doubts clearly,Positive
398,504,9,4,5,6,6,1,7,10,"Too much theory, less engagement",Neutral
399,417,9,6,7,9,5,1,7,2,Loved the interactive session,Positive
400,554,6,6,8,2,4,6,4,10,Very helpful and interactive session,Positive
401,656,6,2,7,2,5,6,9,9,The class was too fast paced,Positive
402,19,10,4,6,3,9,10,9,3,Great use of visuals,Positive
403,275,8,5,4,9,5,5,8,10,More examples should be added,Positive
404,478,5,10,7,6,8,7,3,9,Explain topics in a simpler way,Neutral
405,132,6,9,5,8,10,3,2,10,Assignments were challenging,Positive
406,515,8,3,5,10,3,4,9,4,Include more practicals,Positive
407,44,8,9,5,3,6,9,4,9,Helped clear my doubts clearly,Positive
408,388,6,10,4,5,6,4,4,9,"Too much theory, less engagement",Neutral
409,204,8,7,6,3,3,10,3,6,Loved the interactive session,Positive
410,338,5,2,4,6,9,10,9,4,Very helpful and interactive session,Positive
411,619,8,7,6,4,3,9,3,8,The class was too fast paced,Positive
412,205,8,4,4,2,1,7,9,7,Great use of visuals,Positive
413,39,7,3,7,10,6,4,8,2,More examples should be added,Positive
414,53,5,8,5,1,10,8,5,7,Explain topics in a simpler way,Neutral
415,58,9,3,7,1,2,3,10,7,Assignments were challenging,Positive
416,157,9,6,8,2,8,4,4,3,Include more practicals,Positive
417,28,8,6,6,9,9,9,4,7,Helped clear my doubts clearly,Positive
418,833,8,6,7,7,7,9,10,9,"Too much theory, less engagement",Neutral
419,252,8,9,4,6,10,2,7,5,Loved the interactive session,Positive
420,658,8,5,6,7,10,4,6,4,Very helpful and interactive session,Positive
421,179,6,3,7,6,2,6,5,2,The class was too fast paced,Positive
422,851,9,6,4,10,2,1,3,10,Great use of visuals,Positive
423,809,7,8,7,5,10,2,8,8,More examples should be added,Positive
424,330,7,7,5,7,9,10,2,2,Explain topics in a simpler way,Neutral
425,94,10,10,4,7,8,2,4,4,Assignments were challenging,Positive
426,826,10,5,7,2,8,7,10,5,Include more practicals,Positive
427,227,9,3,6,4,7,4,4,7,Helped clear my doubts clearly,Positive
428,1000,9,8,5,4,10,7,7,10,"Too much theory, less engagement",Neutral
429,114,10,9,7,1,8,4,4,2,Loved the interactive session,Positive
430,251,5,9,6,9,6,4,5,2,Very helpful and interactive session,Positive
431,613,5,6,6,3,9,4,2,9,The class was too fast paced,Positive
432,101,10,5,6,6,9,8,10,3,Great use of visuals,Positive
433,871,7,8,7,10,10,7,2,2,More examples should be added,Positive
434,551,6,3,5,7,3,1,9,10,Explain topics in a simpler way,Neutral
435,931,6,5,7,3,6,5,6,10,Assignments were challenging,Positive
436,49,8,7,8,8,1,1,8,3,Include more practicals,Positive
437,512,5,10,7,9,9,9,6,9,Helped clear my doubts clearly,Positive
438,261,9,9,7,7,4,10,5,9,"Too much theory, less engagement",Neutral
439,754,6,9,4,4,3,10,2,10,Loved the interactive session,Positive
440,345,8,2,8,9,10,10,9,5,Very helpful and interactive session,Positive
441,970,10,9,5,7,6,7,4,7,The class was too fast paced,Positive
442,990,6,9,6,4,9,5,10,8,Great use of visuals,Positive
443,911,6,4,4,10,9,4,7,2,More examples should be added,Positive
444,909,9,8,5,9,5,6,9,7,Explain topics in a simpler way,Neutral
445,817,6,5,7,10,10,4,6,6,Assignments were challenging,Positive
446,733,10,10,5,1,4,1,3,4,Include more practicals,Positive
447,626,7,9,5,4,9,4,3,1,Helped clear my doubts clearly,Positive
448,292,7,9,8,1,5,4,7,4,"Too much theory, less engagement",Neutral
449,82,5,10,8,4,4,10,5,5,Loved the interactive session,Positive
450,355,10,8,5,6,5,10,1,8,Very helpful and interactive session,Positive
451,948,9,5,4,7,9,3,5,7,The class was too fast paced,Positive
452,341,9,4,4,4,7,5,5,8,Great use of visuals,Positive
453,952,7,9,5,7,8,8,10,5,More examples should be added,Positive
454,711,7,3,4,6,3,7,6,4,Explain topics in a simpler way,Neutral
455,635,7,3,8,6,7,4,10,5,Assignments were challenging,Positive
456,850,5,8,7,4,8,7,8,6,Include more practicals,Positive
457,716,6,3,7,9,2,3,3,6,Helped clear my doubts clearly,Positive
458,627,10,2,4,1,6,5,9,5,"Too much theory, less engagement",Neutral
459,661,6,10,4,3,8,2,7,6,Loved the interactive session,Positive
460,877,8,9,4,5,10,10,10,2,Very helpful and interactive session,Positive
461,177,8,2,6,2,8,1,9,9,The class was too fast paced,Positive
462,322,8,10,7,3,3,3,1,5,Great use of visuals,Positive
463,914,9,2,4,2,4,2,2,9,More examples should be added,Positive
464,486,10,9,5,1,4,10,6,9,Explain topics in a simpler way,Neutral
465,723,6,10,5,3,10,3,6,4,Assignments were challenging,Positive
466,105,9,10,5,1,3,1,1,2,Include more practicals,Positive
467,52,6,10,4,1,7,3,10,2,Helped clear my doubts clearly,Positive
468,436,9,9,4,10,1,10,10,2,"Too much theory, less engagement",Neutral
469,829,6,9,5,3,2,2,10,9,Loved the interactive session,Positive
470,753,5,10,8,7,5,10,9,7,Very helpful and interactive session,Positive
471,130,7,9,5,9,3,2,5,4,The class was too fast paced,Positive
472,91,6,5,4,2,5,8,3,3,Great use of visuals,Positive
473,590,10,3,4,4,9,9,6,2,More examples should be added,Positive
474,965,10,3,4,5,10,3,7,3,Explain topics in a simpler way,Neutral
475,99,8,9,6,2,2,3,10,6,Assignments were challenging,Positive
476,912,7,10,7,10,2,7,5,7,Include more practicals,Positive
477,395,9,6,8,2,7,9,8,10,Helped clear my doubts clearly,Positive
478,923,6,3,5,6,9,4,10,3,"Too much theory, less engagement",Neutral
479,499,7,9,8,3,5,1,5,2,Loved the interactive session,Positive
480,115,5,5,7,1,3,8,1,10,Very helpful and interactive session,Positive
481,815,5,9,6,6,2,9,5,3,The class was too fast paced,Positive
482,570,10,10,6,8,9,2,8,10,Great use of visuals,Positive
483,825,9,7,8,1,3,2,9,3,More examples should be added,Positive
484,620,9,5,8,2,8,10,8,8,Explain topics in a simpler way,Neutral
485,175,10,9,8,2,1,6,7,2,Assignments were challenging,Positive
486,358,5,7,4,3,3,10,3,4,Include more practicals,Positive
487,191,7,4,5,2,5,10,4,7,Helped clear my doubts clearly,Positive
488,492,6,5,8,10,3,8,3,2,"Too much theory, less engagement",Neutral
489,529,9,6,6,1,4,10,1,7,Loved the interactive session,Positive
490,389,5,5,8,6,2,3,5,7,Very helpful and interactive session,Positive
491,878,6,5,8,4,10,3,9,10,The class was too fast paced,Positive
492,368,7,9,8,3,2,7,4,1,Great use of visuals,Positive
493,122,7,5,5,3,9,6,9,2,More examples should be added,Positive
494,332,9,2,7,2,8,7,4,10,Explain topics in a simpler way,Neutral
495,303,7,4,5,4,7,2,1,6,Assignments were challenging,Positive
496,336,8,10,4,5,6,7,2,3,Include more practicals,Positive
497,588,6,6,4,10,10,10,3,9,Helped clear my doubts clearly,Positive
498,609,10,9,4,4,1,5,9,10,"Too much theory, less engagement",Neutral
499,920,10,6,7,10,10,2,4,2,Loved the interactive session,Positive
500,370,9,4,7,10,1,10,2,7,Very helpful and interactive session,Positive
501,405,10,2,5,5,5,1,4,6,The class was too fast paced,Positive
502,779,10,8,6,3,8,8,7,8,Great use of visuals,Positive
503,962,10,6,4,5,1,7,1,10,More examples should be added,Positive
504,268,10,6,5,9,9,1,8,6,Explain topics in a simpler way,Neutral
505,625,10,7,6,7,9,6,3,3,Assignments were challenging,Positive
506,217,8,9,8,3,8,5,5,5,Include more practicals,Positive
507,479,10,10,4,6,5,9,2,3,Helped clear my doubts clearly,Positive
508,500,9,5,8,4,2,2,5,1,"Too much theory, less engagement",Neutral
509,409,8,9,7,3,10,4,6,1,Loved the interactive session,Positive
510,546,7,7,5,1,9,8,1,1,Very helpful and interactive session,Positive
511,967,5,5,8,8,1,9,8,5,The class was too fast paced,Positive
512,343,8,4,7,1,10,8,2,6,Great use of visuals,Positive
513,639,7,4,7,7,6,10,5,7,More examples should be added,Positive
514,402,6,8,6,9,4,8,5,7,Explain topics in a simpler way,Neutral
515,617,5,7,5,4,7,1,10,6,Assignments were challenging,Positive
516,349,6,8,8,2,9,9,2,8,Include more practicals,Positive
517,994,8,5,5,2,5,5,9,5,Helped clear my doubts clearly,Positive
518,279,5,10,7,1,4,4,9,4,"Too much theory, less engagement",Neutral
519,926,10,7,5,1,1,6,6,1,Loved the interactive session,Positive
520,816,10,8,5,9,2,7,9,3,Very helpful and interactive session,Positive
521,765,8,7,8,5,7,7,7,7,The class was too fast paced,Positive
522,160,10,6,5,4,2,10,4,7,Great use of visuals,Positive
523,606,8,3,8,1,6,4,8,9,More examples should be added,Positive
524,602,5,3,6,2,8,10,3,1,Explain topics in a simpler way,Neutral
525,893,10,6,8,1,1,10,1,3,Assignments were challenging,Positive
526,810,9,6,7,3,5,9,10,5,Include more practicals,Positive
527,802,8,2,6,6,3,8,7,7,Helped clear my doubts clearly,Positive
528,162,6,2,5,2,10,2,8,8,"Too much theory, less engagement",Neutral
529,449,5,7,8,9,3,2,7,10,Loved the interactive session,Positive
530,463,7,8,7,8,1,4,4,1,Very helpful and interactive session,Positive
531,41,5,3,5,9,3,1,8,8,The class was too fast paced,Positive
532,838,6,3,6,8,7,1,8,8,Great use of visuals,Positive
533,703,10,7,8,3,4,7,9,8,More examples should be added,Positive
534,490,9,2,6,10,9,8,2,4,Explain topics in a simpler way,Neutral
535,906,7,7,8,4,5,2,4,5,Assignments were challenging,Positive
536,174,7,3,6,7,10,10,2,3,Include more practicals,Positive
537,4,5,8,5,7,10,7,3,1,Helped clear my doubts clearly,Positive
538,161,6,7,8,3,5,10,6,4,"Too much theory, less engagement",Neutral
539,31,5,4,5,9,9,2,4,1,Loved the interactive session,Positive
540,623,6,4,6,6,10,10,3,9,Very helpful and interactive session,Positive
541,818,10,5,4,9,2,6,2,6,The class was too fast paced,Positive
542,60,5,6,5,3,1,7,5,3,Great use of visuals,Positive
543,384,6,2,7,9,4,4,2,8,More examples should be added,Positive
544,971,7,6,7,4,6,6,7,9,Explain topics in a simpler way,Neutral
545,427,7,3,7,2,9,8,8,7,Assignments were challenging,Positive
546,431,10,9,4,3,3,9,4,1,Include more practicals,Positive
547,408,6,5,4,7,1,8,6,7,Helped clear my doubts clearly,Positive
548,577,10,7,4,10,7,2,5,1,"Too much theory, less engagement",Neutral
549,803,6,10,8,5,6,5,6,7,Loved the interactive session,Positive
550,273,9,3,7,1,5,3,8,4,Very helpful and interactive session,Positive
551,371,6,3,4,9,4,10,4,10,The class was too fast paced,Positive
552,999,6,7,8,8,9,9,9,5,Great use of visuals,Positive
553,595,10,5,5,4,10,4,4,4,More examples should be added,Positive
554,63,8,8,7,4,4,4,8,2,Explain topics in a simpler way,Neutral
555,899,5,4,7,7,2,6,1,1,Assignments were challenging,Positive
556,0,7,4,8,2,1,4,8,3,Include more practicals,Positive
557,796,7,9,6,2,7,7,6,8,Helped clear my doubts clearly,Positive
558,181,10,10,4,2,1,5,3,1,"Too much theory, less engagement",Neutral
559,290,6,7,6,4,2,8,9,7,Loved the interactive session,Positive
560,373,6,4,8,10,5,3,10,10,Very helpful and interactive session,Positive
561,285,6,10,5,7,3,3,5,1,The class was too fast paced,Positive
562,882,6,3,4,1,7,5,4,2,Great use of visuals,Positive
563,776,8,3,7,6,3,7,6,7,More examples should be added,Positive
564,935,10,9,7,2,8,2,1,2,Explain topics in a simpler way,Neutral
565,679,10,6,4,5,10,9,6,7,Assignments were challenging,Positive
566,102,7,4,6,3,5,7,5,5,Include more practicals,Positive
567,618,5,8,6,9,3,8,7,9,Helped clear my doubts clearly,Positive
568,607,8,4,4,10,10,8,3,7,"Too much theory, less engagement",Neutral
569,743,9,7,7,10,1,5,5,10,Loved the interactive session,Positive
570,682,8,5,8,9,2,10,3,4,Very helpful and interactive session,Positive
571,16,5,3,6,6,5,8,8,2,The class was too fast paced,Positive
572,969,8,6,8,10,2,1,3,2,Great use of visuals,Positive
573,46,8,4,4,9,5,7,4,8,More examples should be added,Positive
574,706,6,8,7,9,8,6,4,1,Explain topics in a simpler way,Neutral
575,993,9,9,4,1,5,2,9,9,Assignments were challenging,Positive
576,508,10,6,5,8,8,5,7,10,Include more practicals,Positive
577,989,8,4,5,4,8,6,7,3,Helped clear my doubts clearly,Positive
578,133,10,4,7,3,5,4,4,5,"Too much theory, less engagement",Neutral
579,15,8,9,8,3,6,10,2,3,Loved the interactive session,Positive
580,78,10,9,6,8,10,7,7,8,Very helpful and interactive session,Positive
581,433,6,6,8,4,8,9,4,1,The class was too fast paced,Positive
582,784,7,7,4,3,7,8,6,10,Great use of visuals,Positive
583,983,5,2,4,1,9,4,3,2,More examples should be added,Positive
584,197,9,3,5,9,8,2,4,10,Explain topics in a simpler way,Neutral
585,483,8,2,6,2,10,2,2,5,Assignments were challenging,Positive
586,376,5,5,5,8,8,4,6,10,Include more practicals,Positive
587,915,10,7,4,6,9,4,9,5,Helped clear my doubts clearly,Positive
588,210,6,5,7,9,5,1,2,4,"Too much theory, less engagement",Neutral
589,20,8,4,5,1,10,10,7,5,Loved the interactive session,Positive
590,425,5,9,8,1,10,8,10,10,Very helpful and interactive session,Positive
591,668,6,3,6,1,2,10,9,3,The class was too fast paced,Positive
592,54,7,2,5,1,5,3,1,3,Great use of visuals,Positive
593,950,7,2,7,10,5,3,4,7,More examples should be added,Positive
594,782,6,7,4,2,2,1,3,8,Explain topics in a simpler way,Neutral
595,108,5,5,7,5,10,7,3,9,Assignments were challenging,Positive
596,400,9,4,5,5,8,10,6,10,Include more practicals,Positive
597,685,10,9,7,3,1,6,6,4,Helped clear my doubts clearly,Positive
598,673,9,3,4,4,7,9,8,4,"Too much theory, less engagement",Neutral
599,198,6,7,7,7,3,5,4,3,Loved the interactive session,Positive
600,14,5,5,8,9,7,5,2,1,Very helpful and interactive session,Positive
601,172,6,5,8,3,4,3,10,3,The class was too fast paced,Positive
602,359,5,6,7,6,9,5,1,5,Great use of visuals,Positive
603,714,10,5,5,5,7,5,7,9,More examples should be added,Positive
604,785,7,6,7,1,7,5,5,9,Explain topics in a simpler way,Neutral
605,865,8,4,6,2,7,5,2,7,Assignments were challenging,Positive
606,662,10,6,4,5,1,9,6,3,Include more practicals,Positive
607,513,9,10,7,7,9,2,10,1,Helped clear my doubts clearly,Positive
608,722,7,10,5,5,4,9,6,7,"Too much theory, less engagement",Neutral
609,8,6,7,6,10,6,9,9,10,Loved the interactive session,Positive
610,873,10,10,4,5,9,10,2,5,Very helpful and interactive session,Positive
611,684,10,3,7,4,4,5,1,10,The class was too fast paced,Positive
612,73,7,2,5,6,3,1,1,4,Great use of visuals,Positive
613,900,9,8,5,8,4,6,9,7,More examples should be added,Positive
614,933,6,9,4,8,7,10,3,5,Explain topics in a simpler way,Neutral
615,634,6,7,6,6,1,6,3,8,Assignments were challenging,Positive
616,835,8,2,7,8,3,4,3,4,Include more practicals,Positive
617,422,9,8,4,4,8,3,4,10,Helped clear my doubts clearly,Positive
618,235,6,2,8,8,6,3,3,1,"Too much theory, less engagement",Neutral
619,286,10,3,7,10,8,8,4,9,Loved the interactive session,Positive
620,129,7,3,4,9,1,4,4,9,Very helpful and interactive session,Positive
621,443,7,9,8,2,4,5,1,5,The class was too fast paced,Positive
622,301,10,7,7,4,3,4,9,2,Great use of visuals,Positive
623,532,10,2,4,2,2,6,10,9,More examples should be added,Positive
624,64,6,2,8,1,8,4,8,4,Explain topics in a simpler way,Neutral
625,860,10,8,4,3,7,1,4,5,Assignments were challenging,Positive
626,559,8,4,4,6,5,5,1,7,Include more practicals,Positive
627,311,7,5,6,8,4,9,8,9,Helped clear my doubts clearly,Positive
628,32,9,3,7,7,6,1,9,2,"Too much theory, less engagement",Neutral
629,296,10,7,4,2,2,10,10,8,Loved the interactive session,Positive
630,419,10,2,5,8,5,3,3,10,Very helpful and interactive session,Positive
631,83,10,6,6,1,8,1,3,9,The class was too fast paced,Positive
632,594,7,2,7,6,7,2,3,6,Great use of visuals,Positive
633,501,5,2,8,4,7,6,10,4,More examples should be added,Positive
634,411,8,4,4,4,8,4,3,1,Explain topics in a simpler way,Neutral
635,824,10,7,7,9,4,9,9,8,Assignments were challenging,Positive
636,585,7,6,8,2,4,7,10,9,Include more practicals,Positive
637,848,9,9,6,1,9,2,8,6,Helped clear my doubts clearly,Positive
638,299,10,8,5,5,4,3,1,9,"Too much theory, less engagement",Neutral
639,107,9,4,8,6,10,4,5,9,Loved the interactive session,Positive
640,119,9,10,5,1,9,6,7,6,Very helpful and interactive session,Positive
641,335,5,3,4,2,8,4,7,6,The class was too fast paced,Positive
642,557,5,5,8,2,4,10,6,1,Great use of visuals,Positive
643,113,5,6,7,1,10,6,4,7,More examples should be added,Positive
644,281,5,6,6,3,4,1,1,1,Explain topics in a simpler way,Neutral
645,836,9,3,4,6,6,3,2,7,Assignments were challenging,Positive
646,426,9,8,7,8,10,6,9,8,Include more practicals,Positive
647,42,8,2,4,6,6,7,3,1,Helped clear my doubts clearly,Positive
648,567,9,3,8,1,4,9,10,9,"Too much theory, less engagement",Neutral
649,589,5,8,7,5,6,7,8,9,Loved the interactive session,Positive
650,187,5,5,6,2,6,1,8,5,Very helpful and interactive session,Positive
651,615,5,6,7,9,1,1,1,5,The class was too fast paced,Positive
652,556,9,9,5,5,1,3,6,10,Great use of visuals,Positive
653,3,9,6,5,9,10,5,5,4,More examples should be added,Positive
654,667,9,9,6,2,1,3,10,2,Explain topics in a simpler way,Neutral
655,234,7,2,4,5,1,8,7,2,Assignments were challenging,Positive
656,96,6,6,5,10,8,10,5,2,Include more practicals,Positive
657,691,7,7,8,8,5,4,8,2,Helped clear my doubts clearly,Positive
658,269,9,10,6,10,10,1,9,10,"Too much theory, less engagement",Neutral
659,566,8,10,6,10,7,6,6,1,Loved the interactive session,Positive
660,985,5,5,4,8,7,6,7,3,Very helpful and interactive session,Positive
661,437,7,2,6,7,5,8,1,8,The class was too fast paced,Positive
662,200,8,4,8,6,8,4,7,1,Great use of visuals,Positive
663,291,10,3,7,8,2,10,3,3,More examples should be added,Positive
664,612,8,9,8,7,1,2,8,4,Explain topics in a simpler way,Neutral
