S.no,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Suggestions,Sentiment
665,448,6,7,7,9,2,9,2,5,Assignments were challenging,Positive
666,439,6,8,7,7,7,4,5,4,Include more practicals,Positive
667,573,5,5,5,8,8,9,8,2,Helped clear my doubts clearly,Positive
668,7,5,8,5,6,2,10,4,8,"Too much theory, less engagement",Neutral
669,725,5,10,8,4,3,5,1,6,Loved the interactive session,Positive
670,50,9,8,6,7,1,6,7,4,Very helpful and interactive session,Positive
671,423,7,9,5,10,10,7,7,3,The class was too fast paced,Positive
672,140,7,10,6,8,6,10,9,6,Great use of visuals,Positive
673,135,8,9,7,3,6,10,2,9,More examples should be added,Positive
674,786,5,4,7,5,5,6,7,1,Explain topics in a simpler way,Neutral
675,601,8,9,4,5,4,3,1,10,Assignments were challenging,Positive
676,493,9,4,4,9,4,3,6,7,Include more practicals,Positive
677,553,7,2,4,7,3,5,1,3,Helped clear my doubts clearly,Positive
678,27,7,3,5,5,5,1,8,6,"Too much theory, less engagement",Neutral
679,257,8,5,6,4,4,1,5,4,Loved the interactive session,Positive
680,225,10,4,5,9,3,6,9,4,Very helpful and interactive session,Positive
681,788,6,5,6,3,10,4,3,8,The class was too fast paced,Positive
682,37,8,9,5,3,4,3,5,2,Great use of visuals,Positive
683,170,5,10,7,2,8,5,9,5,More examples should be added,Positive
684,528,9,2,5,2,6,5,1,6,Explain topics in a simpler way,Neutral
685,600,7,8,6,10,6,7,7,6,Assignments were challenging,Positive
686,655,7,8,5,4,1,6,6,8,Include more practicals,Positive
687,74,8,8,6,1,2,5,2,6,Helped clear my doubts clearly,Positive
688,505,9,6,8,5,8,4,7,6,"Too much theory, less engagement",Neutral
689,377,5,5,7,3,9,6,1,4,Loved the interactive session,Positive
690,808,8,6,4,5,1,8,8,3,Very helpful and interactive session,Positive
691,366,9,9,8,2,1,10,5,2,The class was too fast paced,Positive
692,238,8,7,5,10,10,9,7,10,Great use of visuals,Positive
693,255,9,10,7,10,3,2,7,8,More examples should be added,Positive
694,123,10,2,4,5,9,8,3,5,Explain topics in a simpler way,Neutral
695,663,6,2,8,2,5,7,5,7,Assignments were challenging,Positive
696,876,6,7,4,4,9,2,5,9,Include more practicals,Positive
697,690,5,10,8,4,2,7,9,6,Helped clear my doubts clearly,Positive
698,309,5,8,4,9,2,1,4,5,"Too much theory, less engagement",Neutral
699,693,7,9,8,1,5,10,3,7,Loved the interactive session,Positive
700,226,7,6,8,8,8,5,8,8,Very helpful and interactive session,Positive
701,951,10,10,7,10,5,9,7,1,The class was too fast paced,Positive
702,260,9,3,7,4,7,2,8,3,Great use of visuals,Positive
703,243,9,8,8,8,4,10,8,9,More examples should be added,Positive
704,222,5,4,4,2,7,9,5,3,Explain topics in a simpler way,Neutral
705,314,5,10,6,8,6,6,10,4,Assignments were challenging,Positive
706,229,7,6,8,2,2,10,8,8,Include more practicals,Positive
707,85,5,6,8,9,3,4,4,4,Helped clear my doubts clearly,Positive
708,76,8,9,8,6,3,10,7,2,"Too much theory, less engagement",Neutral
709,887,6,9,5,8,9,7,6,2,Loved the interactive session,Positive
710,582,8,4,7,8,1,5,9,3,Very helpful and interactive session,Positive
711,674,8,5,6,8,7,10,2,7,The class was too fast paced,Positive
712,986,7,2,6,2,4,7,10,7,Great use of visuals,Positive
713,511,8,4,4,5,2,10,10,6,More examples should be added,Positive
714,879,6,10,5,10,9,5,5,4,Explain topics in a simpler way,Neutral
715,401,8,10,7,2,8,10,8,9,Assignments were challenging,Positive
716,514,6,6,7,10,7,7,6,3,Include more practicals,Positive
717,750,10,3,8,1,5,1,3,5,Helped clear my doubts clearly,Positive
718,156,7,4,7,9,10,8,5,8,"Too much theory, less engagement",Neutral
719,775,5,6,7,2,5,4,1,4,Loved the interactive session,Positive
720,329,9,8,8,5,3,3,10,8,Very helpful and interactive session,Positive
721,467,8,10,5,7,7,1,3,6,The class was too fast paced,Positive
722,178,7,7,4,7,1,2,1,2,Great use of visuals,Positive
723,549,5,3,7,6,8,8,5,5,More examples should be added,Positive
724,453,8,4,4,4,2,8,1,4,Explain topics in a simpler way,Neutral
725,307,6,9,5,1,6,5,3,5,Assignments were challenging,Positive
726,472,6,8,7,7,9,9,2,3,Include more practicals,Positive
727,392,7,7,4,9,7,10,8,4,Helped clear my doubts clearly,Positive
728,65,6,4,4,6,3,10,8,3,"Too much theory, less engagement",Neutral
729,575,9,4,7,7,1,1,5,1,Loved the interactive session,Positive
730,855,8,3,6,4,1,1,9,7,Very helpful and interactive session,Positive
731,791,5,9,4,4,1,4,10,9,The class was too fast paced,Positive
732,391,5,3,7,6,7,6,9,4,Great use of visuals,Positive
733,973,6,3,4,6,4,6,6,9,More examples should be added,Positive
734,828,8,3,5,2,9,5,6,3,Explain topics in a simpler way,Neutral
735,247,6,9,6,5,2,2,3,7,Assignments were challenging,Positive
736,412,9,2,5,8,7,2,10,4,Include more practicals,Positive
737,67,7,9,4,3,9,1,1,2,Helped clear my doubts clearly,Positive
738,289,5,2,5,8,9,2,7,2,"Too much theory, less engagement",Neutral
739,399,10,6,4,8,6,5,10,4,Loved the interactive session,Positive
740,138,8,5,8,8,10,4,2,6,Very helpful and interactive session,Positive
741,537,10,6,4,9,9,5,7,5,The class was too fast paced,Positive
742,265,5,9,7,6,5,6,5,3,Great use of visuals,Positive
743,724,5,2,6,1,7,3,3,1,More examples should be added,Positive
744,653,5,6,5,6,6,3,9,2,Explain topics in a simpler way,Neutral
745,318,6,8,5,10,6,7,10,8,Assignments were challenging,Positive
746,232,6,8,5,5,1,1,7,8,Include more practicals,Positive
747,21,9,7,5,3,6,6,1,6,Helped clear my doubts clearly,Positive
748,998,9,7,5,1,2,2,1,10,"Too much theory, less engagement",Neutral
749,694,9,8,8,10,7,7,7,2,Loved the interactive session,Positive
750,927,6,2,6,2,10,3,6,4,Very helpful and interactive session,Positive
751,348,7,9,5,6,5,5,8,6,The class was too fast paced,Positive
752,968,6,7,6,3,8,1,9,3,Great use of visuals,Positive
753,992,10,6,4,3,8,6,10,3,More examples should be added,Positive
754,764,9,3,7,6,3,8,10,2,Explain topics in a simpler way,Neutral
755,587,5,4,8,2,2,2,4,10,Assignments were challenging,Positive
756,944,10,8,6,8,8,7,9,6,Include more practicals,Positive
757,239,5,10,4,3,2,7,4,4,Helped clear my doubts clearly,Positive
758,886,7,7,5,5,10,1,9,9,"Too much theory, less engagement",Neutral
759,23,9,7,4,2,1,2,9,3,Loved the interactive session,Positive
760,458,6,2,4,6,6,10,4,1,Very helpful and interactive session,Positive
761,822,6,2,7,1,5,4,1,10,The class was too fast paced,Positive
762,413,7,10,4,2,3,1,10,1,Great use of visuals,Positive
763,563,7,4,8,8,7,3,3,10,More examples should be added,Positive
764,331,8,8,7,5,10,4,7,5,Explain topics in a simpler way,Neutral
765,434,7,7,7,6,1,8,9,6,Assignments were challenging,Positive
766,456,10,4,8,6,5,1,10,1,Include more practicals,Positive
767,430,9,6,4,9,8,6,4,3,Helped clear my doubts clearly,Positive
768,896,6,8,7,5,4,4,5,5,"Too much theory, less engagement",Neutral
769,451,9,3,6,10,7,8,9,10,Loved the interactive session,Positive
770,477,5,2,5,6,10,6,10,8,Very helpful and interactive session,Positive
771,9,7,5,4,5,1,3,5,6,The class was too fast paced,Positive
772,325,7,5,7,6,1,5,8,6,Great use of visuals,Positive
773,812,9,5,4,4,2,4,2,6,More examples should be added,Positive
774,727,7,2,6,4,2,10,9,5,Explain topics in a simpler way,Neutral
775,928,6,7,6,9,4,8,5,8,Assignments were challenging,Positive
776,134,9,9,7,4,7,10,8,3,Include more practicals,Positive
777,819,6,7,8,8,9,10,2,2,Helped clear my doubts clearly,Positive
778,230,7,2,8,2,6,1,9,2,"Too much theory, less engagement",Neutral
779,520,9,3,5,6,7,10,10,3,Loved the interactive session,Positive
780,326,7,10,8,8,6,4,9,7,Very helpful and interactive session,Positive
781,142,6,8,4,10,8,5,8,6,The class was too fast paced,Positive
782,491,5,4,8,6,1,3,4,4,Great use of visuals,Positive
783,379,7,5,6,2,9,7,3,10,More examples should be added,Positive
784,465,5,2,8,8,6,8,2,4,Explain topics in a simpler way,Neutral
785,756,6,7,7,3,2,6,9,7,Assignments were challenging,Positive
786,347,6,8,7,3,5,1,2,8,Include more practicals,Positive
787,237,10,4,5,8,7,8,2,8,Helped clear my doubts clearly,Positive
788,642,5,7,6,8,9,6,6,7,"Too much theory, less engagement",Neutral
789,506,9,7,4,1,5,7,5,1,Loved the interactive session,Positive
790,646,7,8,5,4,7,8,8,8,Very helpful and interactive session,Positive
791,382,10,10,7,5,2,3,6,3,The class was too fast paced,Positive
792,256,6,7,4,5,9,8,6,5,Great use of visuals,Positive
793,327,8,8,5,10,2,1,10,5,More examples should be added,Positive
794,624,7,3,7,10,2,1,8,8,Explain topics in a simpler way,Neutral
795,155,8,8,8,10,3,9,7,3,Assignments were challenging,Positive
796,578,8,10,7,4,5,8,7,6,Include more practicals,Positive
797,640,10,9,4,10,2,4,3,1,Helped clear my doubts clearly,Positive
798,997,9,8,8,6,8,3,3,10,"Too much theory, less engagement",Neutral
799,242,7,9,5,4,5,9,1,4,Loved the interactive session,Positive
800,344,7,6,8,9,8,3,8,5,Very helpful and interactive session,Positive
801,699,9,5,4,8,4,2,2,8,The class was too fast paced,Positive
802,77,9,4,5,9,2,1,5,10,Great use of visuals,Positive
803,821,8,9,5,5,8,9,4,9,More examples should be added,Positive
804,903,9,8,8,8,4,8,4,1,Explain topics in a simpler way,Neutral
805,540,9,10,7,3,2,4,4,5,Assignments were challenging,Positive
806,596,5,8,7,7,1,2,10,3,Include more practicals,Positive
807,169,8,2,6,3,3,6,9,3,Helped clear my doubts clearly,Positive
808,526,9,5,5,5,2,6,4,9,"Too much theory, less engagement",Neutral
809,361,7,2,6,4,5,7,8,3,Loved the interactive session,Positive
810,917,8,6,5,3,7,5,4,8,Very helpful and interactive session,Positive
811,342,5,9,8,1,9,8,7,10,The class was too fast paced,Positive
812,599,5,2,4,8,4,8,9,5,Great use of visuals,Positive
813,875,5,4,7,3,5,6,4,5,More examples should be added,Positive
814,745,5,9,5,10,8,2,9,1,Explain topics in a simpler way,Neutral
815,131,9,4,8,2,7,5,2,10,Assignments were challenging,Positive
816,143,6,6,7,8,10,3,3,9,Include more practicals,Positive
817,666,10,5,6,8,1,2,7,7,Helped clear my doubts clearly,Positive
818,104,8,5,4,2,7,9,4,4,"Too much theory, less engagement",Neutral
819,964,8,5,5,3,10,5,5,3,Loved the interactive session,Positive
820,208,8,7,5,7,2,3,2,8,Very helpful and interactive session,Positive
821,774,7,10,5,4,6,10,9,6,The class was too fast paced,Positive
822,346,10,7,4,9,3,2,10,8,Great use of visuals,Positive
823,97,7,8,7,9,6,3,10,7,More examples should be added,Positive
824,306,9,10,4,1,3,3,2,5,Explain topics in a simpler way,Neutral
825,18,9,6,6,1,5,8,4,10,Assignments were challenging,Positive
826,284,5,7,6,3,10,3,8,6,Include more practicals,Positive
827,173,5,7,5,10,10,10,3,10,Helped clear my doubts clearly,Positive
828,558,7,9,5,5,9,7,3,5,"Too much theory, less engagement",Neutral
829,51,7,2,6,2,8,2,10,2,Loved the interactive session,Positive
830,357,5,8,7,5,4,1,8,8,Very helpful and interactive session,Positive
831,692,8,8,6,9,5,8,7,10,The class was too fast paced,Positive
832,26,8,2,6,10,9,9,4,5,Great use of visuals,Positive
833,386,9,5,5,4,6,5,7,7,More examples should be added,Positive
834,287,5,9,5,5,10,8,4,10,Explain topics in a simpler way,Neutral
835,974,8,10,4,2,4,9,8,7,Assignments were challenging,Positive
836,683,6,9,4,8,5,5,1,10,Include more practicals,Positive
837,374,6,9,4,6,2,6,7,8,Helped clear my doubts clearly,Positive
838,278,10,8,7,8,6,7,8,1,"Too much theory, less engagement",Neutral
839,367,10,4,8,3,3,9,5,7,Loved the interactive session,Positive
840,800,7,4,5,2,1,6,3,9,Very helpful and interactive session,Positive
841,11,9,5,6,8,5,6,7,7,The class was too fast paced,Positive
842,310,5,8,5,9,4,4,9,10,Great use of visuals,Positive
843,910,5,8,7,10,8,2,4,8,More examples should be added,Positive
844,440,5,7,8,9,7,1,8,10,Explain topics in a simpler way,Neutral
845,441,7,8,5,3,1,8,6,8,Assignments were challenging,Positive
846,146,8,7,5,6,9,2,9,10,Include more practicals,Positive
847,614,8,2,6,7,8,6,6,5,Helped clear my doubts clearly,Positive
848,262,10,5,4,9,6,9,9,3,"Too much theory, less engagement",Neutral
849,34,9,7,8,9,8,2,8,9,Loved the interactive session,Positive
850,407,9,8,8,6,2,9,6,4,Very helpful and interactive session,Positive
851,564,5,10,5,6,8,5,3,1,The class was too fast paced,Positive
852,538,8,7,4,6,10,5,2,9,Great use of visuals,Positive
853,748,5,8,6,1,10,2,4,9,More examples should be added,Positive
854,675,8,7,8,9,8,6,2,8,Explain topics in a simpler way,Neutral
855,224,10,7,7,6,2,1,7,9,Assignments were challenging,Positive
856,10,8,3,7,4,3,6,4,1,Include more practicals,Positive
857,708,5,3,5,4,5,9,6,4,Helped clear my doubts clearly,Positive
858,636,7,3,6,9,5,4,6,3,"Too much theory, less engagement",Neutral
859,218,7,8,4,4,1,4,6,4,Loved the interactive session,Positive
860,193,5,9,4,6,5,7,1,9,Very helpful and interactive session,Positive
861,106,6,6,5,8,3,1,9,7,The class was too fast paced,Positive
862,834,8,2,7,4,1,8,9,2,Great use of visuals,Positive
863,597,5,4,8,4,8,7,3,4,More examples should be added,Positive
864,45,8,5,6,1,5,9,2,9,Explain topics in a simpler way,Neutral
865,264,5,2,4,4,7,6,4,1,Assignments were challenging,Positive
866,219,10,4,5,7,9,10,8,3,Include more practicals,Positive
867,249,10,2,5,6,8,1,8,9,Helped clear my doubts clearly,Positive
868,507,9,2,6,2,7,9,7,9,"Too much theory, less engagement",Neutral
869,383,10,10,8,10,4,9,3,10,Loved the interactive session,Positive
870,631,10,8,5,3,9,9,8,3,Very helpful and interactive session,Positive
871,502,6,3,5,1,8,4,7,8,The class was too fast paced,Positive
872,792,10,2,6,7,7,5,6,9,Great use of visuals,Positive
873,271,8,10,6,5,7,10,10,2,More examples should be added,Positive
874,194,6,3,5,4,1,10,8,3,Explain topics in a simpler way,Neutral
875,937,8,8,4,10,1,5,9,3,Assignments were challenging,Positive
876,726,6,4,4,7,7,3,6,4,Include more practicals,Positive
877,339,6,10,5,9,4,3,6,5,Helped clear my doubts clearly,Positive
878,841,8,9,8,3,4,4,7,1,"Too much theory, less engagement",Neutral
879,874,9,7,6,9,6,1,6,3,Loved the interactive session,Positive
880,214,6,6,4,3,1,3,4,6,Very helpful and interactive session,Positive
881,924,9,10,5,5,6,4,1,8,The class was too fast paced,Positive
882,203,8,7,8,9,4,10,8,10,Great use of visuals,Positive
883,629,8,3,7,4,4,8,1,10,More examples should be added,Positive
884,354,6,3,7,10,1,1,10,6,Explain topics in a simpler way,Neutral
885,857,9,8,6,5,7,8,1,9,Assignments were challenging,Positive
886,424,5,3,7,3,8,6,5,7,Include more practicals,Positive
887,872,6,10,8,8,2,2,1,4,Helped clear my doubts clearly,Positive
888,116,8,5,6,3,5,3,1,9,"Too much theory, less engagement",Neutral
889,308,9,10,7,10,3,2,10,9,Loved the interactive session,Positive
890,698,5,9,6,3,6,9,9,9,Very helpful and interactive session,Positive
891,622,9,10,7,7,6,2,8,4,The class was too fast paced,Positive
892,103,9,6,4,6,1,3,10,6,Great use of visuals,Positive
893,464,5,4,8,6,4,10,1,6,More examples should be added,Positive
894,870,10,4,6,3,8,2,3,7,Explain topics in a simpler way,Neutral
895,351,8,5,8,10,1,9,7,7,Assignments were challenging,Positive
896,628,10,10,4,7,1,7,3,9,Include more practicals,Positive
897,33,8,5,6,1,8,7,7,2,Helped clear my doubts clearly,Positive
898,972,7,9,4,1,1,2,1,10,"Too much theory, less engagement",Neutral
899,535,5,10,5,9,9,8,1,9,Loved the interactive session,Positive
900,959,8,4,5,5,10,7,3,2,Very helpful and interactive session,Positive
901,794,10,4,4,8,6,8,6,9,The class was too fast paced,Positive
902,313,5,7,7,3,7,10,1,1,Great use of visuals,Positive
903,127,5,8,4,9,7,7,7,6,More examples should be added,Positive
904,245,10,6,4,9,9,2,7,7,Explain topics in a simpler way,Neutral
905,773,9,5,8,9,1,10,4,8,Assignments were challenging,Positive
906,69,8,6,6,1,9,1,9,7,Include more practicals,Positive
907,141,8,6,6,5,4,9,5,2,Helped clear my doubts clearly,Positive
908,139,8,3,4,10,6,1,1,5,"Too much theory, less engagement",Neutral
909,398,6,9,6,10,7,4,5,9,Loved the interactive session,Positive
910,889,7,6,8,6,6,6,7,10,Very helpful and interactive session,Positive
911,995,6,7,8,3,7,7,8,7,The class was too fast paced,Positive
912,757,9,5,7,9,7,8,9,1,Great use of visuals,Positive
913,783,5,2,8,2,8,5,7,3,More examples should be added,Positive
914,420,5,8,8,6,2,4,10,3,Explain topics in a simpler way,Neutral
915,790,7,5,6,2,3,1,6,6,Assignments were challenging,Positive
916,592,7,2,7,10,8,9,5,1,Include more practicals,Positive
917,978,6,5,8,9,6,6,2,9,Helped clear my doubts clearly,Positive
918,735,6,4,6,1,7,6,1,5,"Too much theory, less engagement",Neutral
919,731,5,10,6,9,5,10,5,2,Loved the interactive session,Positive
920,932,6,6,4,5,5,3,6,1,Very helpful and interactive session,Positive
921,497,6,4,8,4,6,10,1,6,The class was too fast paced,Positive
922,813,8,10,5,8,4,7,5,2,Great use of visuals,Positive
923,2,10,2,7,3,10,4,4,7,More examples should be added,Positive
924,649,9,2,6,10,4,9,4,2,Explain topics in a simpler way,Neutral
925,455,8,5,4,2,7,4,1,2,Assignments were challenging,Positive
926,593,5,3,5,3,9,10,9,9,Include more practicals,Positive
927,206,10,8,5,4,8,9,10,6,Helped clear my doubts clearly,Positive
928,847,7,10,5,7,1,9,10,4,"Too much theory, less engagement",Neutral
929,233,8,7,7,7,9,2,8,2,Loved the interactive session,Positive
930,87,5,10,8,4,8,10,1,9,Very helpful and interactive session,Positive
931,333,6,3,7,6,9,9,9,1,The class was too fast paced,Positive
932,738,8,2,5,7,2,7,6,5,Great use of visuals,Positive
933,350,5,6,6,1,8,7,10,10,More examples should be added,Positive
934,805,8,8,7,10,6,2,2,6,Explain topics in a simpler way,Neutral
935,700,9,8,6,1,9,6,9,1,Assignments were challenging,Positive
936,92,7,6,7,3,2,1,7,6,Include more practicals,Positive
937,68,5,5,8,8,7,6,10,4,Helped clear my doubts clearly,Positive
938,746,10,5,6,7,1,1,6,1,"Too much theory, less engagement",Neutral
939,741,7,9,7,3,10,8,10,5,Loved the interactive session,Positive
940,581,9,10,8,2,5,6,7,10,Very helpful and interactive session,Positive
941,677,9,6,6,9,1,10,7,1,The class was too fast paced,Positive
942,442,7,8,5,10,8,3,6,4,Great use of visuals,Positive
943,749,9,9,5,2,9,1,10,1,More examples should be added,Positive
944,25,5,6,4,10,4,1,8,3,Explain topics in a simpler way,Neutral
945,936,6,7,6,4,1,8,4,10,Assignments were challenging,Positive
946,90,9,10,6,7,8,1,2,7,Include more practicals,Positive
947,715,6,9,6,5,9,1,6,6,Helped clear my doubts clearly,Positive
948,240,9,9,7,10,5,7,1,6,"Too much theory, less engagement",Neutral
949,13,6,6,6,3,10,7,2,1,Loved the interactive session,Positive
950,126,7,4,6,4,1,5,2,1,Very helpful and interactive session,Positive
951,761,5,9,6,10,10,1,10,6,The class was too fast paced,Positive
952,302,8,4,6,7,1,4,1,8,Great use of visuals,Positive
953,650,8,4,7,9,10,2,8,3,More examples should be added,Positive
954,365,10,5,5,3,5,2,3,5,Explain topics in a simpler way,Neutral
955,905,5,9,6,8,10,2,1,1,Assignments were challenging,Positive
956,415,9,3,5,1,8,9,9,2,Include more practicals,Positive
957,397,10,7,8,6,6,6,2,6,Helped clear my doubts clearly,Positive
958,435,9,9,7,4,1,1,7,5,"Too much theory, less engagement",Neutral
959,945,9,3,8,2,4,9,1,1,Loved the interactive session,Positive
960,930,8,7,5,1,3,7,2,1,Very helpful and interactive session,Positive
961,687,5,9,7,9,3,1,9,5,The class was too fast paced,Positive
962,852,5,10,5,4,3,10,8,6,Great use of visuals,Positive
963,712,6,5,5,7,8,2,9,7,More examples should be added,Positive
964,470,6,10,6,6,7,1,1,2,Explain topics in a simpler way,Neutral
965,43,6,5,4,1,10,7,4,1,Assignments were challenging,Positive
966,550,5,3,7,8,2,7,7,8,Include more practicals,Positive
967,844,8,6,4,1,1,8,10,9,Helped clear my doubts clearly,Positive
968,150,6,5,8,5,2,10,1,6,"Too much theory, less engagement",Neutral
969,168,6,3,8,2,8,10,7,3,Loved the interactive session,Positive
970,519,8,7,7,6,10,10,4,3,Very helpful and interactive session,Positive
971,531,9,8,7,6,3,8,3,7,The class was too fast paced,Positive
972,643,9,7,7,7,2,4,3,7,Great use of visuals,Positive
973,428,6,9,4,4,8,6,2,5,More examples should be added,Positive
974,659,9,4,8,10,6,6,3,8,Explain topics in a simpler way,Neutral
975,766,10,2,4,3,4,6,9,4,Assignments were challenging,Positive
976,732,9,2,6,9,4,2,10,10,Include more practicals,Positive
977,916,10,4,7,3,10,10,7,8,Helped clear my doubts clearly,Positive
978,979,9,4,7,10,5,2,4,2,"Too much theory, less engagement",Neutral
979,372,5,7,7,9,3,5,10,4,Loved the interactive session,Positive
980,778,9,4,8,9,8,5,7,4,Very helpful and interactive session,Positive
981,579,10,3,7,8,9,1,8,8,The class was too fast paced,Positive
982,320,9,6,7,4,3,9,10,2,Great use of visuals,Positive
983,645,5,9,6,6,8,5,10,8,More examples should be added,Positive
984,5,6,7,4,2,3,8,10,7,Explain topics in a simpler way,Neutral
985,294,7,5,4,1,6,2,9,6,Assignments were challenging,Positive
986,117,8,2,5,10,5,4,3,2,Include more practicals,Positive
987,555,9,2,8,7,2,1,3,10,Helped clear my doubts clearly,Positive
988,29,6,9,5,1,6,10,4,5,"Too much theory, less engagement",Neutral
989,259,8,3,8,9,7,4,10,7,Loved the interactive session,Positive
990,47,8,4,4,9,10,10,2,6,Very helpful and interactive session,Positive
991,678,8,10,5,2,7,4,1,7,The class was too fast paced,Positive
992,543,8,2,4,9,3,3,3,4,Great use of visuals,Positive
993,908,5,2,5,3,2,10,4,8,More examples should be added,Positive
994,586,8,2,4,9,8,8,7,7,Explain topics in a simpler way,Neutral
995,98,9,9,7,2,3,3,8,4,Assignments were challenging,Positive
996,55,8,7,6,2,5,7,7,9,Include more practicals,Positive
997,913,5,5,6,5,6,7,6,1,Helped clear my doubts clearly,Positive
998,199,9,5,8,3,8,1,1,2,"Too much theory, less engagement",Neutral
999,539,10,2,7,4,3,4,10,1,Loved the interactive session,Positive
1000,759,7,2,4,2,1,5,9,9,Very helpful and interactive session,Positive
